"Date","Price","Open","High","Low","Change %"
"Jun 10, 2022","0.5812","0.5789","0.5835","0.5789","0.40%"
"Jun 09, 2022","0.5789","0.5780","0.5837","0.5777","0.16%"
"Jun 08, 2022","0.5780","0.5846","0.5851","0.5777","-1.13%"
"Jun 07, 2022","0.5846","0.5887","0.5891","0.5843","-0.70%"
"Jun 06, 2022","0.5887","0.5930","0.5953","0.5882","-0.73%"
"Jun 05, 2022","0.5930","0.5930","0.5930","0.5930","-0.03%"
"Jun 03, 2022","0.5932","0.5960","0.6017","0.5926","-0.48%"
"Jun 02, 2022","0.5960","0.5959","0.5989","0.5957","0.02%"
"Jun 01, 2022","0.5959","0.6028","0.6028","0.5957","-1.13%"
"May 31, 2022","0.6028","0.6069","0.6087","0.6022","-0.68%"
"May 30, 2022","0.6069","0.6106","0.6109","0.6066","-0.60%"
"May 29, 2022","0.6106","0.6106","0.6106","0.6106","-0.02%"
"May 27, 2022","0.6107","0.6109","0.6128","0.6097","-0.03%"
"May 26, 2022","0.6109","0.6095","0.6130","0.6074","0.23%"
"May 25, 2022","0.6095","0.6114","0.6120","0.6082","-0.31%"
"May 24, 2022","0.6114","0.6066","0.6137","0.6054","0.79%"
"May 23, 2022","0.6066","0.6088","0.6089","0.6056","-0.37%"
"May 22, 2022","0.6088","0.6088","0.6088","0.6088","-0.04%"
"May 20, 2022","0.6090","0.6054","0.6103","0.6040","0.59%"
"May 19, 2022","0.6054","0.6084","0.6102","0.6022","-0.48%"
"May 18, 2022","0.6084","0.5985","0.6084","0.5985","1.65%"
"May 17, 2022","0.5985","0.6035","0.6039","0.5974","-0.83%"
"May 16, 2022","0.6035","0.5996","0.6040","0.5985","0.65%"
"May 15, 2022","0.5996","0.5996","0.5996","0.5996","0.00%"
"May 13, 2022","0.5996","0.6022","0.6034","0.5981","-0.44%"
"May 12, 2022","0.6022","0.5963","0.6073","0.5960","1.00%"
"May 11, 2022","0.5963","0.5924","0.5974","0.5915","0.65%"
