"Date","Price","Open","High","Low","Change %"
"Jun 10, 2022","78.116","77.780","78.202","77.762","0.41%"
"Jun 09, 2022","77.800","77.721","77.881","77.686","0.15%"
"Jun 08, 2022","77.683","77.703","77.791","77.600","0.05%"
"Jun 07, 2022","77.647","77.795","77.841","77.627","-0.19%"
"Jun 06, 2022","77.797","77.690","77.854","77.564","0.26%"
"Jun 03, 2022","77.592","77.425","77.662","77.385","0.27%"
"Jun 02, 2022","77.382","77.556","77.654","77.383","-0.22%"
"Jun 01, 2022","77.550","77.646","77.660","77.442","-0.02%"
"May 31, 2022","77.569","77.553","77.746","77.541","0.04%"
"May 30, 2022","77.537","77.594","77.594","77.473","-0.08%"
"May 27, 2022","77.596","77.638","77.683","77.530","-0.02%"
"May 26, 2022","77.614","77.502","77.721","77.486","0.14%"
"May 25, 2022","77.508","77.479","77.641","77.442","0.06%"
"May 24, 2022","77.460","77.543","77.687","77.469","-0.07%"
"May 23, 2022","77.517","77.675","77.730","77.439","-0.43%"
"May 20, 2022","77.850","77.444","77.899","77.432","0.58%"
"May 19, 2022","77.400","77.815","77.820","77.386","-0.51%"
"May 18, 2022","77.800","77.463","77.810","77.460","0.45%"
"May 17, 2022","77.454","77.805","77.810","77.375","-0.46%"
"May 16, 2022","77.811","77.499","77.915","77.499","0.44%"
"May 13, 2022","77.470","77.440","77.562","77.253","0.06%"
"May 12, 2022","77.420","77.423","77.635","77.304","0.01%"
"May 11, 2022","77.410","77.268","77.509","77.145","0.27%"
