"Date","Price","Open","High","Low","Change %"
"Jun 10, 2022","134.42","134.35","134.49","133.36","0.07%"
"Jun 09, 2022","134.33","134.27","134.56","133.18","0.07%"
"Jun 08, 2022","134.24","132.57","134.49","132.57","1.25%"
"Jun 07, 2022","132.58","131.88","133.01","131.86","0.54%"
"Jun 06, 2022","131.87","130.85","132.02","130.43","0.77%"
"Jun 03, 2022","130.86","129.85","130.99","129.68","0.79%"
"Jun 02, 2022","129.83","130.12","130.24","129.51","-0.22%"
"Jun 01, 2022","130.11","128.65","130.20","128.63","1.11%"
"May 31, 2022","128.68","127.57","128.90","127.53","0.89%"
"May 30, 2022","127.55","127.07","127.83","126.86","0.35%"
"May 27, 2022","127.11","127.14","127.27","126.67","-0.02%"
"May 26, 2022","127.14","127.33","127.59","126.55","-0.13%"
"May 25, 2022","127.31","126.82","127.51","126.64","0.40%"
"May 24, 2022","126.80","127.89","128.09","126.36","-0.84%"
"May 23, 2022","127.87","127.93","128.07","127.14","0.02%"
"May 20, 2022","127.85","127.82","128.31","127.53","0.04%"
"May 19, 2022","127.80","128.23","128.96","127.03","-0.33%"
"May 18, 2022","128.22","129.38","129.54","128.01","-0.90%"
"May 17, 2022","129.39","129.18","129.79","128.82","0.18%"
"May 16, 2022","129.16","129.27","129.64","128.70","-0.02%"
"May 13, 2022","129.19","128.35","129.46","128.25","0.68%"
"May 12, 2022","128.32","129.90","130.06","127.51","-1.26%"
"May 11, 2022","129.96","130.45","130.82","129.45","-0.36%"
